title,Pune, India
date_time,2026-06-28 20:00
temp,23.8
humidity,93
percip,0.7
wind,23
title,Mumbai, India
date_time,2026-06-28 20:00
temp,25.9
humidity,93
percip,4.3
wind,13.6
